FROM,TO,Com_Biz,Com_Jtw,Com_Non,Cor_Biz,Cor_Jtw,Cor_Non,Exp_Biz,Exp_Jtw,Exp_Non
HarrisburgPALancasterPA,ProvidenceNewBedfordFallRiverRIMA,0,0,0,305.259671773119,14.6445116373687,1010.30942092332,74.9210995235388,3.92541216986401e-05,2.17345166255207
HarrisburgPALancasterPA,RichmondMetroVA,0,0,0,4568.73965232421,270.650925978909,13421.1107584569,211.176696291538,1.71802676254065e-06,21.5786084848034
HarrisburgPALancasterPA,SpringfieldMAWorcesterMAPittsfieldMA,0,0,0,173.047315702471,432.598572565132,-1342.67844518482,247.672387470619,0.000544270816735103,11.4325286561112
HarrisburgPALancasterPA,WashingtonDCMetro,0,0,0,47139.3923326985,24991.4552965627,184786.675308578,1532.73328384589,20.9853907085717,602.457120784309
HartfordWestEastCT,AlbanySchenectadyTroyNY,0,0,0,2434.15764179055,887.87066864645,5596.15468001043,0,0,0
HartfordWestEastCT,AtlanticCityRestofNewJersey,0,0,0,1972.51935128433,564.265663253892,4736.24909687375,5030.46390335834,236.582640750681,3512.62307616408
HartfordWestEastCT,BaltimoreMetro,0,0,0,4734.72961658745,1713.21979678007,15506.6547500311,4921.119327959,322.960828653798,4453.12102334971
HartfordWestEastCT,BostonMetroManchesterNashuaNH,0,0,0,147342.342419247,68412.9756145879,319717.309762348,3178.51085612386,436.068666101894,3305.19503767679
HartfordWestEastCT,BridgeportStamfordNorwalkCT,0,0,0,2627.29250555929,4251.36878678857,9024.57877104065,864.596919751078,401.665430359622,719.765251141865
HartfordWestEastCT,HarrisburgPALancasterPA,0,0,0,-884.364979333422,2073.20197884142,-59810.0106170758,712.497535391043,0.000977055495463147,46.6090143030766
HartfordWestEastCT,HartfordWestEastCT,0,0,0,461.708615015511,319.102865635057,1654.56114638297,52.8080646312338,6.71551844233014,159.336605290217
HartfordWestEastCT,KingstonNYHudsonNY,0,0,0,1600.3774024179,730.189716269668,5481.05867265232,557.13531749301,28.2485214316246,561.797315304378
HartfordWestEastCT,LancasterPA,0,0,0,2208.36636644878,1814.23124266341,-15646.2172929323,2293.00032543745,0.00280535042330786,130.157201850706
HartfordWestEastCT,NewCastleDECecilMDSalemNJ,0,0,0,394.20258473732,317.665128375608,554.498420543093,657.142360457386,83.3996332770162,209.617482667032
HartfordWestEastCT,NewHavenMilfordCTLitchfieldCT,0,0,0,3576.99238461832,3647.52283610458,8332.92765593837,347.300844413825,23.2595216591855,691.13792818031
HartfordWestEastCT,NewYorkCityNYWestchesterNYLongIsland,0,0,0,51864.4780015572,23296.1855297094,300626.006199464,36452.5304108847,3275.12838560618,33683.095657291
HartfordWestEastCT,NewarkNJNorthernNewJersey,0,0,0,13966.0760968584,4623.75996462344,42312.1434982393,8014.29125244633,502.300330255939,4446.66324881349
HartfordWestEastCT,NorwichNewLondonCTWindhamCT,0,0,0,1481.18927648798,938.798666034726,5415.90622355096,171.624648241382,22.3279944726331,206.076319344864
